TIPO,RESPOSTA,PARAGRAFO
R25,DISCORDO TOTALMENTE,"Mas certamente não é isso que acontece com você: seu teste demonstra um bom nível de respeito próprio e noção do seu valor. "
R25,DISCORDO DE QUASE TUDO,"Mas não parece ser o seu caso. Seu teste indica que você pode ter momentos de autocrítica excessiva, mas de um modo geral você reconhece o seu valor e o respeito próprio está em dia."
R25,CONCORDO EM PARTE,"Parece que você carece de amor-próprio, e essa falta tem influenciado suas escolhas e relacionamentos, levando a concessões prejudiciais. É importante trabalhar a autocompaixão, valorizar suas conquistas e reconhecer o seu valor. Aceitar pouco (ou aceitar algo que claramente não faz bem) por medo de perder o que já tem só te impede de viver algo melhor. Temer a solidão é natural, assim como a perda do emprego ou dos amigos. Mas prender-se a um relacionamento que é fonte de insatisfação, a um trabalho que te deixa infeliz ou paga muito mal, e a amigos que sempre desapontam só vai perpetuar o sofrimento. Pense o seguinte: quem estabelece o padrão de tratamento é você; cada vez que aceita um insulto, uma grosseria, uma desvalorização ou uma negligência, você sinaliza que aceita que te tratem dessa forma. Amor próprio é o começo de qualquer transformação: ele te dá forças para pedir o que precisa em cada departamento da sua vida – e para partir quando entende que não está no lugar certo.
"
R25,CONCORDO TOTALMENTE,"Seu teste mostra que você aceita menos do que merece em várias áreas da vida. Isso agrava ainda mais a falta de amor próprio, criando um círculo vicioso do qual está difícil de sair. Você tem feito concessões prejudiciais para garantir o mínimo, sem se dar conta de que isso só te impede de viver algo melhor. É importante trabalhar a autocompaixão, valorizar suas conquistas e reconhecer o seu valor. Um bom terapeuta pode ajudar, mas não é a única opção. Antes de tudo, reavalie suas escolhas, observe o quanto oferece e o que recebe em troca, e tente perceber qual é o padrão. Aceitar pouco, ou aceitar algo que claramente não faz bem (por medo de perder o que já tem) perpetua o sofrimento. Pense o seguinte: quem estabelece o padrão de tratamento é você; cada vez que você aceita um insulto, uma grosseria, uma desvalorização ou uma negligência, você sinaliza que aceita que te tratem dessa forma. Amor próprio é o começo de qualquer transformação: ele te dá forças para pedir o que precisa em cada departamento da sua vida – e para partir quando entende que não está no lugar certo."
P26 ,26 INQUIETAÇÃO OU HIPERATIVIDADE,"Muitas pessoas desenvolvem <b>distrações constantes</b> como forma de evitar confrontar suas emoções mais dolorosas. A necessidade de ocupar-se o tempo todo, rodear-se de amigos ou ter sempre algum tipo de entretenimento pode ser um mecanismo de defesa contra sentimentos de solidão, tristeza ou angústia. Embora essas estratégias ofereçam alívio temporário, elas impedem a autorreflexão e o processamento saudável de experiências emocionais."
R26,DISCORDO TOTALMENTE,"Mas parece que você consegue lidar com momentos de introspecção sem sentir a necessidade de distrair-se constantemente. "
R26,DISCORDO DE QUASE TUDO,"Parece que você recorre ocasionalmente a distrações para evitar entrar em contato com sentimentos dolorosos, mas mantém um equilíbrio saudável entre entreter-se e ficar a sós com seus pensamentos, emoções e sensações desconfortáveis. "
R26,CONCORDO EM PARTE,"Os resultados do seu teste sugerem que sua necessidade de distração talvez afete um pouco sua capacidade de lidar com emoções profundas, podendo levar a um padrão de evitação emocional. É importante prestar atenção a essa tendência e reservar momentos para introspecção e autorreflexão, tão necessários ao processamento saudável das experiências de vida. Uma ferramenta que pode ajudar nessa tarefa é a <i>escrita terapêutica</i>, que permite a exploração de suas emoções de forma reservada e segura. 
"
R26,CONCORDO TOTALMENTE,"Os resultados do seu teste sugerem que você evita a todo custo qualquer possibilidade de introspecção, preenchendo todo o seu tempo com distrações, atividades e interações. Esse empenho em evitar o contato com sentimentos desconfortáveis pode dificultar seu crescimento emocional, e aponta para uma recusa em processar algum trauma não-resolvido. Tente reservar momentos para a autorreflexão, sem distrações. Uma ferramenta que pode ajudar nessa tarefa é a <i>escrita terapêutica</i>, que permite a exploração de suas emoções de forma reservada e segura. Práticas como <i>mindfulness</i> e meditação também podem ajudar. Permita-se períodos de descanso mental, sem a sobrecarga de estímulos externos. Pode ser angustiante no início, mas o exercício da introspecção leva ao autoconhecimento, o que permite que você faça escolhas bem mais conscientes e saudáveis. 
"
P27,27 VIVER PERIGOSAMENTE,"É comum pessoas que crescem cercadas por altos níveis de estresse se tornarem dependentes de <b>estímulos intensos</b> para se sentir vivas. Isso ocorre porque o cérebro delas se acostumou a picos frequentes de adrenalina em resposta ao estresse do ambiente, e elas acabam sentindo falta desses picos nos momentos de calmaria. Isso leva a uma busca inconsciente por situações de risco, emoções fortes ou desafios constantes. A tranquilidade pode causar imenso desconforto, pois seu cérebro não está familiarizado com essa “química da paz”, e assim essas pessoas podem sentir necessidade não apenas de correr riscos, mas também de viver relações conflituosas para manter o nível de excitação do sistema nervoso elevado."
R27,DISCORDO TOTALMENTE,"Mas não parece ser o seu caso. Você provavelmente se sente confortável em momentos de calma, sem a necessidade de correr riscos ou causar conflitos. "
R27,DISCORDO DE QUASE TUDO,"Mas não parece ser o seu caso. Você aprecia situações excitantes e desafios, mas consegue desfrutar de períodos de tranquilidade sem ficar desconfortável. 
"
R27,CONCORDO EM PARTE,"Parece que você sente inquietação em ambientes pacíficos, e talvez busque, de forma inconsciente, situações de maior estresse para manter um certo nível de excitabilidade. Seria interessante exercitar atividades que promovem regulação emocional, que “acalmam” seu sistema nervoso, como yoga e meditação. Isso ajudaria a tornar a calma e a sensação de segurança em estados naturais. Além disso, que tal investir em formas mais saudáveis de excitação, como esportes ou atividades criativas? "
R27,CONCORDO TOTALMENTE,"Parece que você tem grande necessidade de estímulos intensos, e talvez se sinta profundamente desconfortável em momentos de calmaria. Essa necessidade pode levar a padrões destrutivos de comportamento, de forma impulsiva e inconsciente. Nesse caso, você poderia se beneficiar muito de atividades que promovem regulação emocional, como yoga e meditação, que “acalmam” seu sistema nervoso hiperativo. Isso ajudaria a tornar a calma e a sensação de segurança em estados naturais. Além disso, investir em formas mais saudáveis de excitação, como esportes ou atividades criativas, também pode ser de grande ajuda. Finalmente, seria interessante recorrer a terapias somáticas (que trabalham o corpo) para poder descarregar o excesso de energia que causa essa agitação. "
P28,28 COMPORTAMENTOS COMPULSIVOS,"<b>Comportamentos compulsivos</b> estão muito associados à dificuldade de lidar com emoções difíceis. Um comportamento muito comum é o <b>consumo</b>, ultra-estimulado em nossa cultura consumista e associado ao bem-estar. O problema é que esse mecanismo de compensação pode oferecer alívio temporário, mas rapidamente esse bem-estar desaparece, e surge então a necessidade de comprar ainda mais. Esse círculo vicioso gera sentimentos de culpa, ansiedade e frustração, e costuma causar grandes prejuízos à autoestima, às finanças e, em muitos casos, aos relacionamentos.  "
R28,DISCORDO TOTALMENTE,"Você, no entanto, não parece ter necessidade de comprar compulsivamente para acalmar-se ou como fonte de satisfação.  "
R28,DISCORDO DE QUASE TUDO,"Você, no entanto, não parece precisar comprar compulsivamente para acalmar-se ou como fonte de prazer. Você talvez compre mais do que precisa, e sabe disso, mas não parece algo fora de controle, nem profundamente associado a bem-estar. "
R28,CONCORDO EM PARTE,"Parece que você já fez (e talvez ainda faça) compras de forma compulsiva para tentar aplacar seu desconforto emocional. Você talvez recorra a este mecanismo de compensação com regularidade, de modo que o consumo se tornou uma fonte importante de bem-estar – mas um bem-estar muito passageiro, que só desvia sua atenção do que está por trás desse impulso. Nesse caso, é importante tentar identificar os seus gatilhos, e então buscar formas mais saudáveis para lidar com o desconforto. Todos precisamos desenvolver estratégias de autorregulação que não dependam de agentes externos (comida, bebida, sexo, apostas ou consumo). Por isso é fundamental aprender técnicas de relaxamento físico e mental que te ajudem a passar por eventuais tempestades emocionais sem recorrer a comportamentos autodestrutivos. Uma vez aprendidas, elas estarão sempre disponíveis na sua “caixa de ferramentas” emocionais. "
R28,CONCORDO TOTALMENTE,"Parece que a compra compulsiva faz parte da sua vida, o que provavelmente impacta significativamente a sua vida financeira e seu estado emocional. É importante tentar identificar os seus gatilhos, e então buscar formas mais saudáveis de lidar com o grande desconforto por trás desse impulso. Todos precisamos desenvolver estratégias de autorregulação que não dependam de agentes externos (comida, bebida, sexo, apostas, consumo etc). Por isso é fundamental aprender técnicas de relaxamento físico e mental que te ajudem a passar pelo estresse emocional sem recorrer a comportamentos autodestrutivos. Uma vez aprendidas, elas estarão sempre disponíveis na sua “caixa de ferramentas” emocionais. Técnicas de mindfulness melhoram a capacidade de regulação emocional e podem reduzir a intensidade dessa angústia. Psicoterapia também pode ajudar a entender a raiz da compulsão."
P29,29 COMPORTAMENTOS AUTODESTRUTIVOS,"Além do consumismo desenfreado, o <b>uso de substâncias ou atividades compulsivas</b> (como jogos, compulsão alimentar, vício em sexo, em esportes radicais, abuso de álcool e outras adições) são alguns exemplos de padrões de automedicação para lidar com a dor emocional. Embora essas estratégias possam oferecer alívio momentâneo para o sofrimento psíquico, elas levam a um ciclo autodestrutivo que afeta a saúde física e mental, a autoestima, os relacionamentos e, frequentemente, a carreira e as finanças. "
R29,DISCORDO TOTALMENTE,"Mas seu teste não aponta para padrões de automedicação ou compulsões compensatórias. Você parece conseguir lidar de forma equilibrada e saudável com o desconforto emocional, o que é ótimo!"
R29 ,DISCORDO DE QUASE TUDO,"Mas seu teste não aponta para padrões de automedicação ou compulsões compensatórias. Você pode cometer pequenos excessos ocasionais que ajudam a aliviar o estresse, mas não parece fora de controle.   "
R29 ,CONCORDO EM PARTE,"Seu teste dá indícios de possíveis padrões de automedicação ou compulsões compensatórias. Seu comportamento aponta para uma relação problemática com determinadas substâncias ou hábitos, que podem ter impactos negativos na sua vida e no seu bem-estar. Seria interessante refletir sobre as possíveis motivações de tais comportamentos, e buscar alternativas mais saudáveis para lidar com dores e frustrações. Focar no aprendizado de técnicas de regulação emocional pode ser de grande ajuda.  "
R29,CONCORDO TOTALMENTE,"Seu teste aponta para padrões de automedicação e compulsões compensatórias que estão prejudicando a sua saúde física e mental. Você parece cometer excessos de forma regular, que ajudam a aliviar momentaneamente o estresse, mas estão longe de resolver os seus problemas. Tente refletir sobre as possíveis motivações desse comportamento autodestrutivo e buscar alternativas mais saudáveis para lidar com sua angústia e frustrações. É importante estabelecer limites claros para o uso de determinadas substâncias ou atividades, e fortalecer a sua rede de apoio – o que naturalmente tende a reduzir a necessidade de automedicação. Focar no aprendizado de técnicas de regulação emocional também pode ser de grande ajuda.  
"
P30,30 PEOPLE-PLEASER,"<b>“People pleaser""</b> é aquele que busca agradar a todo custo, muitas vezes em detrimento das próprias necessidades. Este padrão de comportamento está ligado ao medo de rejeição e a uma necessidade profunda de validação externa, e surge como um mecanismo adaptativo para garantir segurança emocional em ambientes hostis. Nesse contexto, a pessoa aprende a reprimir suas próprias emoções para atender às expectativas alheias, torna-se hipersensível ao humor e às reações dos outros e reconhece sinais muito sutis de aprovação ou reprovação. O people pleaser coloca as emoções dos outros acima das próprias, e se sente constantemente responsável pelo bem-estar alheio. Suas relações são baseadas em auto-sacrifício e medo de desagradar, o que leva à formação de vínculos afetivos disfuncionais – mas ele sente que só será aceito se for útil ou perfeito. Suas características mais marcantes são baixa autoestima, dificuldade em impor limites, culpa e vergonha excessivos, falta de autenticidade devido ao medo de críticas, e tudo isso leva ao esgotamento emocional. Esse comportamento muitas vezes deriva de um trauma infantil, onde a criança teve que desenvolver essa estratégia para garantir aceitação e evitar punições (físicas ou psicológicas), e pode ser um reflexo de ter crescido com pais ou cuidadores imprevisíveis, intransigentes ou emocionalmente negligentes."
R30,DISCORDO TOTALMENTE,"Mas parece que você consegue equilibrar bem suas necessidades (demandas internas) com as expectativas dos outros (demandas externas) sem prejuízo emocional."
R30 ,DISCORDO DE QUASE TUDO,"Mas parece que você consegue equilibrar suas próprias necessidades e as demandas alheias. Talvez seja difícil dizer “não”, mas isso não te impede de se impor quando precisa.  "
R30,CONCORDO EM PARTE,"Parece que sua necessidade de agradar começa a impactar sua saúde mental e seus relacionamentos. Para evitar que isso piore, tente dizer “não” aos poucos, de forma gradual, e observe como se sente. E tente encontrar, entre os relacionamentos que mantém, quais são recíprocos e saudáveis. Nem todos merecem seu empenho e dedicação, e certamente nem todos retribuem. "
R30,CONCORDO TOTALMENTE,"Sua necessidade de agradar parece excessiva, e é possível que você priorize as necessidades dos outros em vez das suas. Esse comportamento pode ser fonte de esgotamento e frustração, porque nem todos retribuem o seu cuidado. Para sair do papel de “people-pleaser”, tente dizer “não” aos poucos, de forma gradual, e observe como se sente. E busque entre os seus relacionamentos aqueles que são recíprocos e saudáveis. Lembre-se que mesmo relações genuínas e recíprocas têm conflitos, desentendimentos e frustrações, e isso é natural: as pessoas são muito diferentes, percebem as coisas de forma diferente e esperam coisas diferentes. O mais importante é ter uma comunicação aberta e respeitosa, concordando em discordar em alguns casos. Acredite, não é o fim do mundo! Você não precisa corresponder às expectativas alheias para ter amor, companheirismo e aceitação. "
P31,31 AMOR TRANSACIONAL,"Quando pensamos em amor parental, pensamos em amor incondicional. Mas, infelizmente, isso é raro. Talvez o modelo de amor predominante ainda seja o do <b>amor transacional</b>: quando o afeto e a aceitação são condicionados ao desempenho da criança, ou ao atendimento a determinadas expectativas. Ou seja: a criança é acolhida e bem tratada quando se comporta como esperado, do contrário é ignorada, punida ou rejeitada. Isso pode levar a uma sensação constante de inadequação na vida adulta, e a um esforço constante por aprovação, o que só reforça esse padrão de amor condicional. "
R31,DISCORDO TOTALMENTE,"Seu teste, no entanto, sugere que você tem uma visão saudável de amor, sem necessidade de lutar por ele o tempo todo. "
R31,DISCORDO DE QUASE TUDO,"Seu teste, no entanto, sugere que você tem uma visão saudável de amor. Você pode ter inseguranças pontuais, sobretudo quando sente que não atende às expectativas de alguém, mas não perde o equilíbrio nem duvida do amor dessa pessoa por você.  "
R31,CONCORDO EM PARTE,"Seu teste sugere que sua autoestima e valor próprio podem estar muito atrelados a agradar alguém, o que pode ser fonte constante de estresse e insegurança. Lembre-se que amor não está ligado à meritocracia: não “merecemos” ser amados pelo que fazemos, mas por quem somos. É claro que seu comportamento (e o de qualquer pessoa) influencia a forma como os outros te tratam, e é sempre bom tratar a todos com respeito e consideração (além de gentileza, dedicação, honestidade, delicadeza…você escolhe). Mas o que alguém SENTE por você não deveria depender da sua “performance”, pois isso seria uma transação, e não uma relação.Tente praticar a autocompaixão e o amor próprio, decisivos na posição que assumimos em qualquer relacionamento. Além disso, aposte em relações baseadas em aceitação mútua e reciprocidade: onde há doação das duas partes, sem que uma se empenhe muito mais do que a outra para se sentir amada.   "
R31,CONCORDO TOTALMENTE,"Seu teste sugere que sua autoestima e valor próprio estão extremamente atrelados a agradar alguém, o que certamente é uma fonte inesgotável de estresse, frustração e insegurança. Você sente que precisa se esforçar constantemente por amor, e isso impacta suas ações e suas escolhas. Lembre-se que amor não está ligado à meritocracia: não “merecemos” ser amados pelo que fazemos, mas por quem somos. É claro que seu comportamento (e o de qualquer pessoa) influencia a forma como os outros te tratam, e é sempre bom tratar a todos com respeito e consideração (além de gentileza, dedicação, honestidade, delicadeza…você escolhe); mas o que alguém SENTE por você não deveria depender da sua “performance”, pois isso seria uma transação, e não uma relação amorosa. Tente praticar a autocompaixão e o amor próprio, decisivos na posição que assumimos em qualquer relacionamento. Além disso, aposte em relações baseadas em aceitação mútua e reciprocidade: onde há doação das duas partes, sem que uma se empenhe muito mais do que a outra para se sentir amada. 
"
P32,32 PERPETUAÇÃO DO TRAUMA,"Nossas <b>escolhas românticas</b> também são afetadas pelos traumas psicológicos. Isso acontece porque nosso cérebro pode se acostumar a ambientes instáveis ou muito estressantes, onde os relacionamentos são marcados por qualquer tipo de abuso (físico, psicológico ou sexual) ou negligência. O cérebro acaba se familiarizando com essa turbulência, de modo que relações tranquilas e previsíveis podem ser sentidas como “mornas” ou “tediosas”, simplesmente porque não causam o padrão familiar de química cerebral. Isso pode levar à busca inconsciente de parceiros que repetem as mesmas dinâmicas disfuncionais; mesmo que a turbulência da infância tenha causado sofrimento, temos uma tendência muito forte a escolher o que é familiar em vez do que é bom, o que perpetua o ciclo de trauma. "
R32,DISCORDO TOTALMENTE,"Felizmente, esse não é o seu caso. Você parece fazer escolhas conscientes e saudáveis nesse campo. "
R32,DISCORDO DE QUASE TUDO,"Felizmente, esse não parece ser o caso. Seu teste sugere que você tem uma leve tendência a repetir padrões tóxicos, mas tem consciência disso e se empenha para tentar romper esse ciclo."
R32,CONCORDO EM PARTE,"Parece que você tem repetido padrões tóxicos de relacionamento, e que tem dificuldade para identificar ou quebrar esse padrão. Nem sempre é fácil identificar padrões prejudiciais, por isso é fundamental praticar a auto-observação constantemente: olhar com cuidado para suas escolhas, pensar em como elas melhoram ou pioram sua vida, e avaliar o que você oferece e o que recebe dos seus vínculos afetivos. Isso vai te ajudar a reconhecer o que é recorrente, e a buscar compreender a origem dessa repetição.  "
R32,CONCORDO TOTALMENTE,"Parece que você repete padrões tóxicos de relacionamento de forma inconsciente, e isso impacta fortemente sua qualidade de vida. Nem sempre é fácil identificar padrões prejudiciais, por isso é fundamental praticar a auto-observação constantemente: olhar com cuidado para suas escolhas, pensar em como elas melhoram ou pioram sua vida, e avaliar o que você oferece e o que recebe dos seus vínculos afetivos. Isso vai te ajudar a reconhecer o que é recorrente, e a buscar compreender a origem dessa repetição. Ciclos de relações disfuncionais apontam para a necessidade de mudança: de reforçar a autoestima e o amor próprio, de respeitar os seus limites, de reconhecer o seu valor, de saber o que quer e ser capaz de cuidar bem de você, estando ou não em uma relação. Ao resgatar (ou construir) essas habilidades, dificilmente você repetirá velhos padrões que não te fazem bem. "
P33,33 NECESSIDADE DE EXPLICAR-SE O TEMPO TODO,"A necessidade de <b>explicar-se em excesso</b>, por sua vez, é um reflexo de ter sofrido muita injustiça e incompreensão na infância ou adolescência. Ou, ainda, de não ter tido seus limites e vontades respeitados nas ocasiões em que um simples “não” não foi suficiente. Assim, foi preciso dar muitos detalhes para acreditarem em você ou respeitarem sua vontade. Explicar-se o tempo todo foi a única forma de se proteger de conflitos e evitar mal-entendidos, tornando-se um padrão de proteção que dura até hoje.    "
R33,DISCORDO TOTALMENTE,"Seu teste, no entanto, sugere que você se sente confortável com suas decisões e não sente necessidade de se justificar."
R33 ,DISCORDO DE QUASE TUDO,"Seu teste, no entanto, sugere que você pode até se explicar demais ocasionalmente para evitar mal-entendidos, mas não é um padrão recorrente de comportamento. "
R33,CONCORDO EM PARTE,"Seu teste sugere que você tem muita necessidade de se explicar, o que pode ser uma fonte constante de estresse e cansaço emocional. Essa pressão para se justificar pode afetar sua autoestima e limitar seu bem-estar, além de sugerir falta de intimidade ou de aceitação nas suas relações. Talvez seja importante fortalecer seu direito à autonomia (de ação, de opinião, de gosto e desejos). Considere responder de forma mais objetiva e direta, sem justificar-se, e observe o que sente. Lembre-se que você não tem obrigação de fazer o que não quer, não gosta ou não concorda só para agradar alguém, e tampouco é responsável pela frustração alheia. Você, como qualquer outra pessoa, tem direito à autonomia, liberdade e privacidade. "
R33,CONCORDO TOTALMENTE,"Seu teste aponta para uma necessidade compulsiva de se explicar e um forte medo de conflitos ou mal-entendidos. Essa pressão constante para se justificar afeta sua autoestima e prejudica seu bem-estar, além de sugerir falta de intimidade ou de aceitação nas suas relações. Seria importante trabalhar a autoconfiança, fortalecendo seu direito à autonomia (de ação, de opinião, de gosto e desejos). Tente exercitar a objetividade, com respostas curtas e confiantes sem justificar-se, e observe como se sente. E não se esqueça: você não tem obrigação de fazer algo que não quer, não gosta ou não concorda só para agradar alguém, e também não é responsável pela frustração alheia. Você, como qualquer outra pessoa, tem direito à autonomia, liberdade e privacidade. "
S4,ESTRESSE EMOCIONAL,"Traumas psicológicos impactam nossos <b>sentimentos e nossas reações emocionais</b> de várias formas, e frequentemente leva ao surgimento de sintomas típicos de quadros psiquiátricos, como ansiedade intensa, depressão persistente, ataques de pânico, raiva crônica ou irritabilidade, tristeza profunda, desesperança, culpa e vergonha excessivas, além de instabilidade emocional, medo de intimidade e dificuldade na formação e manutenção de vínculos afetivos."
P34,34 SISTEMA DE ALARME HIPERATIVO,"Como já dissemos, o sistema nervoso pode permanecer em um <b>estado de alerta contínuo</b> após vivências traumáticas, resultando em hipervigilância, aceleração cardíaca e ativação desproporcional das respostas de estresse em situações cotidianas. Esse estado de apreensão constante e sem motivo aparente pode causar sensações físicas e emocionais extremamente desconfortáveis, tanto nas interações sociais como nos momentos a sós, devido a uma sobrecarga de pensamentos negativos.  "
R34,DISCORDO TOTALMENTE,"Mas seu sistema de resposta ao estresse parece equilibrado, sem sinais de hiperatividade ou hipervigilância. "
R34,DISCORDO DE QUASE TUDO,"Você pode sentir ativação ocasional diante de situações desconfortáveis, mas seus resultados sugerem que você consegue retomar o equilíbrio."
R34,CONCORDO EM PARTE,"Seu teste indica um sistema de alarme hiperativo, que pode se manifestar por meio de ansiedade frequente. Técnicas de respiração profunda e relaxamento muscular progressivo podem ajudar, além de atividades que promovam movimentos ritmados como dança, Yoga ou Tai Chi. Do ponto de vista científico, são atividades que comprovadamente ajudam a acalmar e equilibrar o sistema nervoso hiperativo. "
R34,CONCORDO TOTALMENTE,"Sua resposta ao estresse parece excessiva e provavelmente impacta o seu cotidiano. Nesse caso, valeria a pena buscar apoio terapêutico e explorar práticas de regulação do sistema nervoso, como mindfulness, respiração profunda, massagem relaxante e atividades que promovam movimentos ritmados, como dança, Yoga ou Tai Chi. Do ponto de vista científico, são atividades que comprovadamente ajudam a acalmar e equilibrar o sistema nervoso hiperativo. "
P35,35 MEDO DE INTIMIDADE SEXUAL,"Experiências traumáticas podem afetar a <b>vida sexual</b> de várias formas, levando a padrões de evitação, desconforto ou dificuldades em estabelecer intimidade. Medo, vergonha ou sentimentos de culpa relacionados ao trauma, bem como a desconfiança e a hipervigilância dele decorrentes podem interferir na disposição para o contato físico íntimo.  "
R35,DISCORDO TOTALMENTE,"Mas eu não me preocuparia com isso: sua vida sexual parece satisfatória e sem interferências significativas de estresse ou trauma."
R35,DISCORDO DE QUASE TUDO,"Seu teste não aponta para problemas sérios nessa área. Você pode ter dificuldades pontuais, mas elas podem estar ligadas à intimidade emocional com o (a) parceiro(a). Quanto mais conexão emocional, mais fácil a conexão sexual – em muitos casos, o problema não é propriamente sexual, mas sim uma dificuldade ligada à falta de intimidade emocional.
"
R35,CONCORDO EM PARTE,"Seu teste aponta para algumas dificuldades nessa área, e sua vida sexual parece ser motivo de frustração ou desconforto. Talvez seja interessante explorar uma forma mais afetiva de interagir na intimidade, em que você realmente possa expressar como se sente. Quanto mais conexão emocional, mais fácil a conexão sexual – em muitos casos, o problema não é propriamente sexual, mas sim resultado da falta de intimidade emocional. Considere também buscar apoio terapêutico para desenvolver técnicas de regulação emocional que ajudem a construir intimidade.  "
R35,CONCORDO TOTALMENTE,"Seu teste aponta para muitas dificuldades nessa área, e sua vida sexual parece motivo de grande frustração e desconforto. Seria interessante tentar explorar uma forma de interação íntima mais afetiva, em que haja espaço para você expressar como se sente no campo sexual. Quanto mais conexão emocional, mais fácil a conexão sexual – em muitos casos, o problema não é propriamente sexual, mas sim resultado da falta de intimidade emocional. Se for possível, considere buscar apoio terapêutico para desenvolver técnicas de regulação emocional que ajudem a construir intimidade. E lembre-se que nem sempre o problema é com você – é praticamente impossível “entrar no clima” ou ter prazer quando não existe segurança ou confiança no(a) parceiro(a). "
P36,36 DISSOCIAÇÃO,"A <b>dissociação</b> é um mecanismo de defesa do cérebro diante de experiências insuportáveis. Quando o corpo não pode fugir nem reagir a uma situação de sobrecarga física ou emocional, a mente trata de “ausentar-se” por meio da dissociação. Ela pode se manifestar como uma sensação de desconexão do próprio corpo, do ambiente ao redor ou das próprias emoções. Em níveis mais severos, pode levar a apagões de memória ou a uma dificuldade crônica de se sentir presente no momento atual. Embora seja um recurso protetor em momentos críticos, a dissociação dificulta o processamento saudável das experiências, o aprendizado e a formação de memórias positivas. "
R36,DISCORDO TOTALMENTE,"Mas você não apresenta sinais de dissociação. Sua autopercepção e sua percepção do mundo ao redor parece estável; você é capaz de lidar com as experiências aqui e agora de forma consciente, e consegue integrá-las. "
R36,DISCORDO DE QUASE TUDO,"Você pode ter momentos pontuais de desconexão, como lapsos de atenção ou sensação de estar ""no automático"". Isso pode ser um mecanismo passageiro e natural em momentos de estresse, mas não parece prejudicar sua capacidade de viver de forma consciente e presente no aqui e agora. "
R36,CONCORDO EM PARTE,"Parece que você dissocia com alguma frequência, e é possível que tenha dificuldade para lembrar detalhes de eventos marcantes, ou para sentir-se presente no aqui e agora. Essa espécie de “desligamento” pode afetar sua vida e impedir que você viva momentos importantes plenamente. Práticas de grounding (como exercícios de respiração, tocar objetos texturizados, prestar atenção ao ambiente à sua volta ou cheirar um lenço perfumado) podem ajudar a recuperar o sentido de presença. Terapia também pode ser útil para identificar os gatilhos da dissociação e a desenvolver estratégias para lidar melhor com ela. "
R36 ,CONCORDO TOTALMENTE,"Sua rotina e seu bem-estar podem ser fortemente afetados por sua tendência a se dissociar. Você pode ter episódios de apagões, sensação de irrealidade constante ou dificuldade de se sentir presente no momento, não apenas ao interagir com outras pessoas mas também quando está só. Práticas de grounding (como exercícios de respiração, tocar objetos texturizados, prestar atenção ao ambiente à sua volta ou cheirar um lenço perfumado) podem ajudar a recuperar o sentido de presença. Além disso, estabelecer rotinas e hábitos que tornem seu dia a dia mais previsível pode reforçar sua conexão com o presente; terapia também pode ser útil para identificar os gatilhos desta forte dissociação, e para desenvolver estratégias de enfrentamento. "
P37 ,37 EXPLOSÕES EMOCIONAIS,"Dificuldades de conter <b>reações agressivas</b> podem estar ligadas a experiências repetidas de invalidação ou repressão das emoções na infância e adolescência. Ou, ainda, a modelos disfuncionais de como lidar com conflitos, em que discordâncias eram sinônimo de confronto. Lidar com emoções e saber gerenciar conflitos de forma saudável são habilidades aprendidas, e quando não as aprendemos desde cedo temos grande dificuldade para lidar com frustrações e divergências quando adultos. Essa incapacidade prejudica nossa qualidade de vida e nossos relacionamentos. "
R37,DISCORDO TOTALMENTE,"Sua capacidade de autorregulação emocional, no entanto, parece saudável, e seu teste indica que você consegue lidar com conflitos de forma equilibrada.  "
R37,DISCORDO DE QUASE TUDO,"Certas situações podem representar uma sobrecarga emocional para você, sobretudo conflitos interpessoais, mas você parece recuperar o equilíbrio sem muita dificuldade. "
R37,CONCORDO EM PARTE,"Parece que você tem dificuldade de controlar suas emoções diante de conflitos, explodindo ou se fechando completamente quando ocorrem. Isso pode indicar uma capacidade de regulação emocional pouco desenvolvida, mas não se preocupe: você pode aprendê-la. Alguns treinos podem ajudar, como técnicas de respiração profunda e mindfulness, e seria interessante ler um pouco sobre comunicação não-violenta. Expressar emoções de forma saudável pode ser desafiador, mas você verá que, como quase tudo na vida, é um aprendizado; é preciso exercitar essa habilidade até que ela faça parte do seu repertório emocional. "
R37,CONCORDO TOTALMENTE,"Você parece perder o controle com frequência em situações de conflito, o que prejudica sua vida pessoal e profissional. Isso indica uma incapacidade de autorregulação emocional, com padrões de comportamento agressivo ou tendência à dissociação em momentos desafiadores. Mas a autorregulação emocional, como quase tudo na vida, é uma habilidade que você pode aprender. Alguns treinos podem ajudar nesse processo, como técnicas de respiração profunda e mindfulness, e seria muito útil ler sobre comunicação não-violenta. Um número enorme de pessoas tem dificuldade para expressar suas emoções de forma saudável, mas é preciso praticar regularmente para desenvolver esta habilidade. Tente identificar os gatilhos que desencadeiam essas respostas tão intensas, para aos poucos ser capaz de interromper esses rompantes antes que aconteçam. Apoio terapêutico pode ajudar a trabalhar a regulação emocional em segurança, até que ela faça parte do seu repertório emocional. Sessões de neurofeedback também têm se mostrado eficazes no tratamento de sintomas associados ao estresse pós-traumático. 
"
P38,38 MEDO DE INTIMIDADE,"O <b>medo de intimidade</b> pode ser uma resposta a experiências passadas de traição, abandono ou rejeição. Esse medo pode levar à evitação crônica da vulnerabilidade, observado na dificuldade para confiar e criar vínculos profundos, e no distanciamento emocional de pessoas próximas. Quanto mais alguém se aproxima, mais ansiedade isso causa, o que resulta em atitudes desastradas que acabam com qualquer possibilidade de formação de um vínculo afetivo.  "
